broker,account,contract,exchange,volume,price,direction,offset,date,time
9999,******,TA705,CZCE,1,5426.00,1,0,20170111,21:40:29
9999,******,i1709,DCE,49,547.50,1,0,20170111,10:42:07
9999,******,i1705,DCE,49,595.50,0,0,20170111,10:42:07
9999,******,i1709,DCE,1,547.50,1,0,20170111,10:42:07
9999,******,i1705,DCE,1,595.50,0,0,20170111,10:42:07
9999,******,OI705,CZCE,1,7090.00,0,0,20170111,09:39:22
9999,******,OI705,CZCE,9,7090.00,0,0,20170111,09:39:21
9999,******,pp1705,DCE,3,8650.00,0,0,20170111,09:06:48
9999,******,pp1705,DCE,1,8650.00,0,0,20170111,09:06:48
9999,******,TA705,CZCE,8,5406.00,1,0,20170111,21:44:19
9999,******,TA705,CZCE,2,5406.00,1,0,20170111,21:44:19
9999,******,TA705,CZCE,1,5406.00,1,0,20170111,21:44:19
9999,******,TA705,CZCE,1,5406.00,1,0,20170111,21:44:19
9999,******,TA705,CZCE,4,5406.00,1,0,20170111,21:44:19
9999,******,TA709,CZCE,16,5480.00,0,0,20170111,21:44:19
9999,******,TA709,CZCE,1,5482.00,0,0,20170111,21:44:06
9999,******,TA705,CZCE,1,5408.00,1,0,20170111,21:44:06
9999,******,TA709,CZCE,1,5482.00,0,0,20170111,21:44:06
9999,******,TA705,CZCE,1,5408.00,1,0,20170111,21:44:06
9999,******,TA709,CZCE,5,5490.00,0,0,20170111,21:43:01
9999,******,TA705,CZCE,5,5416.00,1,0,20170111,21:43:01
9999,******,TA709,CZCE,4,5488.00,0,0,20170111,21:42:58
9999,******,TA705,CZCE,4,5414.00,1,0,20170111,21:42:58
9999,******,TA705,CZCE,1,5418.00,1,0,20170111,21:41:57
9999,******,TA709,CZCE,1,5492.00,0,0,20170111,21:41:57
9999,******,TA709,CZCE,1,5494.00,0,0,20170111,21:41:30
9999,******,TA705,CZCE,1,5420.00,1,0,20170111,21:41:30
9999,******,TA709,CZCE,2,5494.00,0,0,20170111,21:41:25
9999,******,TA705,CZCE,2,5420.00,1,0,20170111,21:41:25
9999,******,TA709,CZCE,1,5502.00,0,0,20170111,21:40:58
9999,******,TA709,CZCE,25,5502.00,0,0,20170111,21:40:58
9999,******,TA709,CZCE,1,5502.00,0,0,20170111,21:40:58
9999,******,TA705,CZCE,27,5428.00,1,0,20170111,21:40:58
9999,******,TA709,CZCE,1,5502.00,0,0,20170111,21:40:58
9999,******,TA705,CZCE,1,5428.00,1,0,20170111,21:40:58
9999,******,TA709,CZCE,1,5502.00,0,0,20170111,21:40:57
9999,******,TA705,CZCE,1,5428.00,1,0,20170111,21:40:57
9999,******,TA709,CZCE,2,5502.00,0,0,20170111,21:40:57
9999,******,TA709,CZCE,1,5502.00,0,0,20170111,21:40:57
9999,******,TA709,CZCE,5,5502.00,0,0,20170111,21:40:57
9999,******,TA705,CZCE,8,5428.00,1,0,20170111,21:40:57
9999,******,TA705,CZCE,4,5426.00,1,0,20170111,21:40:37
9999,******,TA709,CZCE,4,5500.00,0,0,20170111,21:40:37
9999,******,TA709,CZCE,1,5500.00,0,0,20170111,21:40:30
9999,******,TA709,CZCE,1,5500.00,0,0,20170111,21:40:30
9999,******,TA709,CZCE,1,5500.00,0,0,20170111,21:40:30
9999,******,TA709,CZCE,5,5500.00,0,0,20170111,21:40:30
9999,******,TA705,CZCE,8,5426.00,1,0,20170111,21:40:30
9999,******,TA709,CZCE,1,5500.00,0,0,20170111,21:40:29
9999,******,TA705,CZCE,1,5426.00,1,0,20170111,21:40:29
9999,******,TA709,CZCE,4,5500.00,0,0,20170111,21:40:29
9999,******,TA709,CZCE,10,5500.00,0,0,20170111,21:40:29
9999,******,TA709,CZCE,4,5500.00,0,0,20170111,21:40:29
9999,******,TA705,CZCE,18,5426.00,1,0,20170111,21:40:29
9999,******,TA709,CZCE,1,5500.00,0,0,20170111,21:40:29
9999,******,pp1705,DCE,3,8782.00,0,0,20170112,09:08:01
9999,******,a1705,DCE,3,4102.00,1,0,20170112,14:17:40
9999,******,a1705,DCE,1,4102.00,1,0,20170112,14:17:40
9999,******,a1705,DCE,3,4102.00,1,0,20170112,14:17:40
9999,******,a1705,DCE,1,4102.00,1,0,20170112,14:17:40
9999,******,cs1705,DCE,1,1759.00,1,0,20170112,10:45:29
9999,******,cs1705,DCE,1,1759.00,1,0,20170112,10:45:29
9999,******,cs1705,DCE,1,1759.00,1,0,20170112,10:45:29
9999,******,cs1705,DCE,1,1759.00,1,0,20170112,10:45:29
9999,******,cs1705,DCE,1,1759.00,1,0,20170112,10:45:29
9999,******,cs1705,DCE,3,1759.00,1,0,20170112,10:45:29
9999,******,l1705,DCE,4,9930.00,0,0,20170112,09:14:42
9999,******,l1705,DCE,4,9930.00,0,0,20170112,09:14:42
9999,******,pp1705,DCE,1,8783.00,0,0,20170112,09:08:01
9999,******,l1705,DCE,2,10135.00,1,1,20170116,09:05:00
9999,******,ru1705,SHFE,1,21280.00,1,0,20170116,13:54:38
9999,******,ru1705,SHFE,1,21280.00,1,3,20170116,13:54:38
9999,******,ru1705,SHFE,1,21540.00,0,0,20170116,09:45:21
9999,******,ru1705,SHFE,1,21540.00,0,3,20170116,09:45:21
9999,******,l1705,DCE,4,10215.00,0,0,20170116,09:42:49
9999,******,l1705,DCE,4,10215.00,0,1,20170116,09:42:49
9999,******,hc1705,SHFE,4,3693.00,0,0,20170116,09:41:57
9999,******,hc1705,SHFE,4,3693.00,0,3,20170116,09:41:57
9999,******,rb1705,SHFE,2,3313.00,0,0,20170116,09:24:43
9999,******,rb1705,SHFE,1,3313.00,0,0,20170116,09:24:43
9999,******,rb1705,SHFE,2,3313.00,0,0,20170116,09:24:43
9999,******,rb1705,SHFE,1,3313.00,0,0,20170116,09:24:43
9999,******,rb1705,SHFE,2,3313.00,0,0,20170116,09:24:43
9999,******,pp1705,DCE,4,9040.00,0,0,20170116,09:20:44
9999,******,pp1705,DCE,4,9040.00,0,1,20170116,09:20:44
9999,******,ru1705,SHFE,1,21280.00,1,0,20170116,09:06:45
9999,******,hc1705,SHFE,4,3665.00,1,0,20170116,09:05:31
9999,******,pp1705,DCE,4,8951.00,1,0,20170116,09:05:02
9999,******,pp1705,DCE,2,8951.00,1,1,20170116,09:05:02
9999,******,pp1705,DCE,1,8953.00,1,1,20170116,09:05:01
9999,******,pp1705,DCE,1,8954.00,1,1,20170116,09:05:01
9999,******,l1705,DCE,4,10135.00,1,0,20170116,09:05:00
9999,******,l1705,DCE,2,10135.00,1,1,20170116,09:05:00
9999,******,cs1705,DCE,8,1834.00,0,1,20170117,09:30:41
9999,******,l1705,DCE,4,10125.00,1,0,20170117,14:46:25
9999,******,l1705,DCE,4,10125.00,1,1,20170117,14:46:25
9999,******,rb1705,SHFE,8,3283.00,1,0,20170117,11:23:30
9999,******,rb1705,SHFE,6,3283.00,1,4,20170117,11:23:30
9999,******,rb1705,SHFE,2,3283.00,1,4,20170117,11:23:30
9999,******,ru1705,SHFE,1,21165.00,1,0,20170117,10:04:33
9999,******,ru1705,SHFE,1,21165.00,1,3,20170117,10:04:33
9999,******,ru1705,SHFE,1,21745.00,0,0,20170117,09:53:04
9999,******,ru1705,SHFE,1,21745.00,0,4,20170117,09:53:04
9999,******,hc1705,SHFE,4,3653.00,1,0,20170117,09:42:34
9999,******,hc1705,SHFE,4,3654.00,1,4,20170117,09:42:34
9999,******,cs1705,DCE,8,1834.00,0,0,20170117,09:30:41
9999,******,pp1705,DCE,4,8907.00,1,1,20170119,09:15:40
9999,******,pp1705,DCE,4,8907.00,1,0,20170119,09:15:40
9999,******,l1705,DCE,4,10325.00,0,1,20170120,13:47:12
9999,******,l1705,DCE,4,10325.00,0,0,20170120,13:47:12
9999,******,l1705,DCE,1,10290.00,1,1,20170123,09:05:00
9999,******,ru1705,SHFE,1,19855.00,1,0,20170123,14:14:54
9999,******,ru1705,SHFE,1,19855.00,1,3,20170123,14:14:54
9999,******,l1705,DCE,4,10330.00,0,0,20170123,09:26:07
9999,******,l1705,DCE,4,10330.00,0,1,20170123,09:26:07
9999,******,pp1705,DCE,3,9154.00,0,0,20170123,09:21:55
9999,******,pp1705,DCE,1,9154.00,0,0,20170123,09:21:55
9999,******,pp1705,DCE,1,9154.00,0,1,20170123,09:21:55
9999,******,pp1705,DCE,3,9154.00,0,1,20170123,09:21:55
9999,******,rb1705,SHFE,1,3168.00,0,0,20170123,09:19:54
9999,******,rb1705,SHFE,1,3168.00,0,0,20170123,09:19:54
9999,******,rb1705,SHFE,2,3168.00,0,0,20170123,09:19:54
9999,******,rb1705,SHFE,1,3168.00,0,0,20170123,09:19:54
9999,******,rb1705,SHFE,1,3168.00,0,0,20170123,09:19:54
9999,******,rb1705,SHFE,2,3168.00,0,0,20170123,09:19:54
9999,******,rb1705,SHFE,8,3167.00,0,4,20170123,09:19:54
9999,******,hc1705,SHFE,4,3457.00,0,0,20170123,09:12:50
9999,******,hc1705,SHFE,4,3457.00,0,4,20170123,09:12:50
9999,******,ru1705,SHFE,1,19995.00,0,0,20170123,09:12:08
9999,******,ru1705,SHFE,1,19995.00,0,4,20170123,09:12:08
9999,******,l1705,DCE,4,10290.00,1,0,20170123,09:05:00
9999,******,l1705,DCE,3,10290.00,1,1,20170123,09:05:00
9999,******,l1705,DCE,1,10265.00,1,1,20170124,09:31:58
9999,******,pp1705,DCE,3,9071.00,1,0,20170124,14:18:03
9999,******,pp1705,DCE,1,9071.00,1,0,20170124,14:18:03
9999,******,pp1705,DCE,2,9071.00,1,1,20170124,14:18:03
9999,******,pp1705,DCE,2,9071.00,1,1,20170124,14:18:03
9999,******,ru1705,SHFE,1,20220.00,0,0,20170124,10:08:53
9999,******,ru1705,SHFE,1,20225.00,0,4,20170124,10:08:53
9999,******,l1705,DCE,4,10265.00,1,0,20170124,09:31:58
9999,******,l1705,DCE,3,10265.00,1,1,20170124,09:31:58
9999,******,pp1705,DCE,4,9258.00,0,1,20170125,09:44:36
9999,******,pp1705,DCE,4,9258.00,0,0,20170125,09:44:36
9999,******,l1705,DCE,1,10445.00,0,1,20170126,09:09:54
9999,******,l1705,DCE,4,10445.00,0,0,20170126,09:09:54
9999,******,l1705,DCE,1,10445.00,0,1,20170126,09:09:54
9999,******,l1705,DCE,1,10445.00,0,1,20170126,09:09:54
9999,******,l1705,DCE,1,10445.00,0,1,20170126,09:09:54
9999,******,pp1705,DCE,1,9316.00,1,1,20170203,09:10:22
9999,******,l1705,DCE,1,10175.00,1,0,20170203,11:00:02
9999,******,l1705,DCE,1,10175.00,1,0,20170203,11:00:02
9999,******,l1705,DCE,1,10175.00,1,0,20170203,11:00:02
9999,******,l1705,DCE,1,10175.00,1,0,20170203,11:00:02
9999,******,l1705,DCE,4,10175.00,1,1,20170203,11:00:02
9999,******,l1705,DCE,4,10270.00,1,0,20170203,10:56:09
9999,******,l1705,DCE,4,10270.00,1,1,20170203,10:56:09
9999,******,l1705,DCE,4,10375.00,0,0,20170203,09:31:22
9999,******,l1705,DCE,4,10375.00,0,1,20170203,09:31:22
9999,******,a1705,DCE,8,4308.00,0,0,20170203,09:22:08
9999,******,a1705,DCE,8,4308.00,0,1,20170203,09:22:08
9999,******,ru1705,SHFE,1,20775.00,1,0,20170203,09:10:52
9999,******,ru1705,SHFE,1,20775.00,1,4,20170203,09:10:51
9999,******,l1705,DCE,4,10290.00,1,0,20170203,09:10:41
9999,******,l1705,DCE,1,10290.00,1,1,20170203,09:10:41
9999,******,l1705,DCE,1,10290.00,1,1,20170203,09:10:41
9999,******,l1705,DCE,1,10290.00,1,1,20170203,09:10:41
9999,******,l1705,DCE,1,10290.00,1,1,20170203,09:10:41
9999,******,pp1705,DCE,1,9315.00,1,0,20170203,09:10:22
9999,******,pp1705,DCE,1,9315.00,1,0,20170203,09:10:22
9999,******,pp1705,DCE,2,9315.00,1,0,20170203,09:10:22
9999,******,pp1705,DCE,3,9315.00,1,1,20170203,09:10:22
9999,******,ru1705,SHFE,1,20205.00,0,4,20170206,09:05:03
9999,******,ru1705,SHFE,1,20005.00,1,0,20170206,14:12:28
9999,******,ru1705,SHFE,1,20005.00,1,3,20170206,14:12:28
9999,******,l1705,DCE,2,10255.00,0,0,20170206,09:19:50
9999,******,l1705,DCE,1,10255.00,0,0,20170206,09:19:50
9999,******,l1705,DCE,1,10255.00,0,0,20170206,09:19:50
9999,******,l1705,DCE,4,10255.00,0,1,20170206,09:19:50
9999,******,pp1705,DCE,4,9262.00,0,0,20170206,09:19:12
9999,******,pp1705,DCE,4,9262.00,0,1,20170206,09:19:12
9999,******,ru1705,SHFE,1,20205.00,0,0,20170206,09:05:03
9999,******,l1705,DCE,4,10475.00,0,1,20170207,09:05:49
9999,******,ru1705,SHFE,1,20370.00,0,0,20170207,13:41:48
9999,******,ru1705,SHFE,1,20360.00,0,4,20170207,13:41:48
9999,******,l1705,DCE,4,10475.00,0,0,20170207,09:05:49
9999,******,c1709,DCE,10,1678.00,0,0,20170208,09:23:22
9999,******,c1709,DCE,100,1676.00,0,0,20170208,14:10:55
9999,******,c1705,DCE,100,1602.00,1,0,20170208,14:10:55
9999,******,l1705,DCE,1,10180.00,1,0,20170208,13:53:12
9999,******,l1705,DCE,3,10180.00,1,0,20170208,13:53:12
9999,******,l1705,DCE,2,10180.00,1,1,20170208,13:53:12
9999,******,l1705,DCE,2,10180.00,1,1,20170208,13:53:12
9999,******,pp1705,DCE,4,9188.00,1,0,20170208,11:29:57
9999,******,pp1705,DCE,2,9188.00,1,1,20170208,11:29:57
9999,******,pp1705,DCE,1,9188.00,1,1,20170208,11:29:57
9999,******,pp1705,DCE,1,9188.00,1,1,20170208,11:29:57
9999,******,pp1705,DCE,3,9200.00,1,0,20170208,11:29:56
9999,******,pp1705,DCE,1,9200.00,1,0,20170208,11:29:56
9999,******,pp1705,DCE,1,9200.00,1,1,20170208,11:29:56
9999,******,pp1705,DCE,1,9200.00,1,1,20170208,11:29:56
9999,******,pp1705,DCE,1,9200.00,1,1,20170208,11:29:56
9999,******,pp1705,DCE,1,9200.00,1,1,20170208,11:29:56
9999,******,l1705,DCE,1,10210.00,1,0,20170208,11:05:42
9999,******,l1705,DCE,1,10210.00,1,0,20170208,11:05:42
9999,******,l1705,DCE,1,10210.00,1,0,20170208,11:05:42
9999,******,l1705,DCE,1,10210.00,1,0,20170208,11:05:42
9999,******,l1705,DCE,4,10210.00,1,1,20170208,11:05:42
9999,******,c1709,DCE,10,1676.00,0,0,20170208,10:01:47
9999,******,c1709,DCE,10,1677.00,0,0,20170208,09:38:33
9999,******,RM705,CZCE,4,2495.00,0,0,20170209,09:00:00
9999,******,m1705,DCE,4,2976.00,0,0,20170209,09:00:01
9999,******,rb1705,SHFE,4,3274.00,0,0,20170210,13:36:37
9999,******,hc1705,SHFE,2,3574.00,0,0,20170210,13:38:54
9999,******,hc1705,SHFE,1,3574.00,0,0,20170210,13:38:54
9999,******,hc1705,SHFE,1,3574.00,0,0,20170210,13:38:54
9999,******,FG705,CZCE,4,1378.00,0,0,20170213,09:00:00
9999,******,IC1702,CFFEX,2,6324.00,0,0,20170213,10:41:36
9999,******,IC1702,CFFEX,1,6293.60,1,0,20170213,09:41:52
9999,******,l1705,DCE,4,10500.00,0,0,20170213,09:30:01
9999,******,l1705,DCE,4,10500.00,0,1,20170213,09:30:01
9999,******,l1705,DCE,3,10445.00,0,0,20170213,09:15:10
9999,******,l1705,DCE,1,10445.00,0,0,20170213,09:15:10
9999,******,l1705,DCE,1,10445.00,0,1,20170213,09:15:10
9999,******,l1705,DCE,1,10445.00,0,1,20170213,09:15:10
9999,******,l1705,DCE,1,10445.00,0,1,20170213,09:15:10
9999,******,l1705,DCE,1,10445.00,0,1,20170213,09:15:10
9999,******,pp1705,DCE,4,9445.00,0,0,20170213,09:15:06
9999,******,pp1705,DCE,4,9445.00,0,1,20170213,09:15:06
9999,******,pp1705,DCE,4,9444.00,0,0,20170213,09:15:06
9999,******,pp1705,DCE,4,9444.00,0,1,20170213,09:15:06
9999,******,pp1705,DCE,4,9320.00,1,1,20170215,10:44:53
9999,******,l1705,DCE,1,10165.00,1,0,20170215,14:59:45
9999,******,l1705,DCE,3,10165.00,1,0,20170215,14:59:45
9999,******,l1705,DCE,2,10165.00,1,1,20170215,14:59:45
9999,******,l1705,DCE,2,10165.00,1,1,20170215,14:59:45
9999,******,IC1702,CFFEX,1,6285.00,1,1,20170215,14:49:11
9999,******,l1705,DCE,4,10355.00,1,0,20170215,11:16:39
9999,******,l1705,DCE,4,10355.00,1,1,20170215,11:16:39
9999,******,pp1705,DCE,4,9320.00,1,0,20170215,10:44:53
9999,******,IC1702,CFFEX,1,6289.60,0,1,20170216,09:29:00
9999,******,ru1705,SHFE,1,21405.00,1,0,20170216,14:13:41
9999,******,ru1705,SHFE,1,21405.00,1,4,20170216,14:13:41
9999,******,pp1705,DCE,4,9160.00,1,0,20170216,09:37:44
9999,******,pp1705,DCE,2,9160.00,1,1,20170216,09:37:44
9999,******,pp1705,DCE,2,9160.00,1,1,20170216,09:37:44
9999,******,IC1702,CFFEX,1,6289.60,1,1,20170216,09:29:00
9999,******,cs1705,DCE,8,1797.00,1,1,20170217,10:03:04
9999,******,cs1705,DCE,1,1797.00,1,0,20170217,10:03:04
9999,******,cs1705,DCE,5,1797.00,1,0,20170217,10:03:04
9999,******,cs1705,DCE,2,1797.00,1,0,20170217,10:03:04
9999,******,rb1705,SHFE,8,3468.00,1,4,20170220,09:05:02
9999,******,hc1705,SHFE,4,3713.00,1,0,20170220,11:22:46
9999,******,hc1705,SHFE,4,3713.00,1,3,20170220,11:22:45
9999,******,IC1703,CFFEX,1,6234.80,0,0,20170220,09:38:03
9999,******,IC1703,CFFEX,1,6234.80,0,0,20170220,09:38:03
9999,******,IC1703,CFFEX,1,6218.40,1,0,20170220,09:36:40
9999,******,ru1705,SHFE,1,20180.00,0,0,20170220,09:15:05
9999,******,ru1705,SHFE,1,20180.00,0,4,20170220,09:15:05
9999,******,hc1705,SHFE,4,3768.00,0,0,20170220,09:13:12
9999,******,hc1705,SHFE,1,3768.00,0,3,20170220,09:13:12
9999,******,hc1705,SHFE,1,3768.00,0,3,20170220,09:13:12
9999,******,hc1705,SHFE,2,3768.00,0,3,20170220,09:13:12
9999,******,rb1705,SHFE,8,3518.00,0,0,20170220,09:13:10
9999,******,rb1705,SHFE,8,3518.00,0,3,20170220,09:13:10
9999,******,pp1705,DCE,3,8978.00,0,0,20170220,09:07:47
9999,******,pp1705,DCE,1,8975.00,0,0,20170220,09:07:47
9999,******,pp1705,DCE,4,8975.00,0,1,20170220,09:07:47
9999,******,l1705,DCE,4,9935.00,0,0,20170220,09:07:20
9999,******,l1705,DCE,1,9935.00,0,1,20170220,09:07:20
9999,******,l1705,DCE,1,9935.00,0,1,20170220,09:07:20
9999,******,l1705,DCE,2,9935.00,0,1,20170220,09:07:20
9999,******,hc1705,SHFE,4,3715.00,1,0,20170220,09:05:05
9999,******,hc1705,SHFE,1,3716.00,1,4,20170220,09:05:05
9999,******,hc1705,SHFE,3,3716.00,1,4,20170220,09:05:05
9999,******,rb1705,SHFE,1,3468.00,1,0,20170220,09:05:02
9999,******,rb1705,SHFE,1,3468.00,1,0,20170220,09:05:02
9999,******,rb1705,SHFE,1,3468.00,1,0,20170220,09:05:02
9999,******,rb1705,SHFE,5,3468.00,1,0,20170220,09:05:02
9999,******,hc1705,SHFE,4,3818.00,0,4,20170221,09:05:06
9999,******,l1705,DCE,4,9880.00,1,0,20170221,11:09:05
9999,******,l1705,DCE,4,9880.00,1,1,20170221,11:09:05
9999,******,pp1705,DCE,4,8891.00,1,0,20170221,11:08:03
9999,******,pp1705,DCE,4,8891.00,1,1,20170221,11:08:03
9999,******,hc1705,SHFE,4,3818.00,0,0,20170221,09:05:06
9999,******,hc1705,SHFE,1,3702.00,1,4,20170222,09:05:00
9999,******,ru1705,SHFE,1,19755.00,1,0,20170222,13:38:32
9999,******,ru1705,SHFE,1,19755.00,1,4,20170222,13:38:32
9999,******,RM705,CZCE,4,2413.00,1,0,20170222,11:29:57
9999,******,RM705,CZCE,4,2414.00,1,1,20170222,11:29:57
9999,******,hc1705,SHFE,3,3676.00,1,0,20170222,11:03:06
9999,******,hc1705,SHFE,1,3677.00,1,0,20170222,11:03:06
9999,******,hc1705,SHFE,1,3677.00,1,4,20170222,11:03:06
9999,******,hc1705,SHFE,1,3677.00,1,4,20170222,11:03:06
9999,******,hc1705,SHFE,1,3677.00,1,4,20170222,11:03:06
9999,******,hc1705,SHFE,1,3677.00,1,4,20170222,11:03:06
9999,******,a1705,DCE,1,4200.00,1,0,20170222,10:49:59
9999,******,a1705,DCE,1,4200.00,1,0,20170222,10:49:59
9999,******,a1705,DCE,1,4200.00,1,0,20170222,10:49:59
9999,******,a1705,DCE,1,4200.00,1,0,20170222,10:49:59
9999,******,a1705,DCE,1,4200.00,1,0,20170222,10:49:59
9999,******,a1705,DCE,1,4200.00,1,0,20170222,10:49:59
9999,******,a1705,DCE,1,4200.00,1,0,20170222,10:49:59
9999,******,a1705,DCE,1,4200.00,1,0,20170222,10:49:59
9999,******,a1705,DCE,1,4200.00,1,1,20170222,10:49:59
9999,******,a1705,DCE,1,4200.00,1,1,20170222,10:49:59
9999,******,a1705,DCE,5,4200.00,1,1,20170222,10:49:59
9999,******,a1705,DCE,1,4200.00,1,1,20170222,10:49:59
9999,******,hc1705,SHFE,4,3701.00,1,0,20170222,09:05:00
9999,******,hc1705,SHFE,1,3702.00,1,4,20170222,09:05:00
9999,******,hc1705,SHFE,1,3702.00,1,4,20170222,09:05:00
9999,******,hc1705,SHFE,1,3702.00,1,4,20170222,09:05:00
9999,******,rb1705,SHFE,2,3482.00,1,0,20170223,13:47:27
9999,******,m1705,DCE,4,2894.00,1,0,20170223,14:16:07
9999,******,m1705,DCE,4,2894.00,1,1,20170223,14:16:07
9999,******,rb1705,SHFE,3,3461.00,1,0,20170223,14:00:37
9999,******,rb1705,SHFE,1,3461.00,1,0,20170223,14:00:37
9999,******,rb1705,SHFE,1,3461.00,1,4,20170223,14:00:37
9999,******,rb1705,SHFE,1,3461.00,1,4,20170223,14:00:37
9999,******,rb1705,SHFE,1,3461.00,1,4,20170223,14:00:37
9999,******,rb1705,SHFE,1,3461.00,1,4,20170223,14:00:37
9999,******,rb1705,SHFE,1,3462.00,1,0,20170223,14:00:35
9999,******,rb1705,SHFE,1,3462.00,1,0,20170223,14:00:35
9999,******,rb1705,SHFE,6,3462.00,1,0,20170223,14:00:35
9999,******,rb1705,SHFE,8,3462.00,1,4,20170223,14:00:35
9999,******,rb1705,SHFE,2,3482.00,1,0,20170223,13:47:27
9999,******,cs1705,DCE,1,1874.00,0,1,20170224,09:33:18
9999,******,rb1705,SHFE,4,3467.00,0,0,20170224,14:21:15
9999,******,rb1705,SHFE,4,3467.00,0,4,20170224,14:21:15
9999,******,cs1705,DCE,8,1874.00,0,0,20170224,09:33:18
9999,******,cs1705,DCE,3,1874.00,0,1,20170224,09:33:18
9999,******,cs1705,DCE,1,1874.00,0,1,20170224,09:33:18
9999,******,cs1705,DCE,1,1874.00,0,1,20170224,09:33:18
9999,******,cs1705,DCE,2,1874.00,0,1,20170224,09:33:18
9999,******,rb1705,SHFE,5,3587.00,0,4,20170227,09:05:00
9999,******,pp1705,DCE,4,8691.00,1,0,20170227,13:59:51
9999,******,pp1705,DCE,4,8691.00,1,1,20170227,13:59:51
9999,******,l1705,DCE,4,9700.00,1,0,20170227,13:40:04
9999,******,l1705,DCE,4,9700.00,1,1,20170227,13:40:04
